,connectance,web asymmetry,links per species,cluster coefficient,nestedness,NODF,weighted nestedness,weighted connectance,H2,number.of.species.HL,number.of.species.LL,mean.number.of.shared.partners.HL,mean.number.of.shared.partners.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,togetherness.HL,togetherness.LL,C.score.HL,C.score.LL,V.ratio.HL,V.ratio.LL,discrepancy.HL,discrepancy.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,functional.complementarity.HL,functional.complementarity.LL,partner.diversity.HL,partner.diversity.LL,generality.HL,vulnerability.LL
Macfadyen2009_plant-herb_A1,0.059090909,-0.641791045,1.164179104,0.022727273,5.996923662,10.10879688,0.515322262,0.052811278,0.832388445,24,110,0.235507246,0.180650542,0.1383798,0.073393918,0.046306914,0.508933714,0.02521281,0.119922952,0.009323406,0.048882402,0.909492891,0.83442452,9.078079815,0.480118614,115,113,1.261072306,2.989235812,0.558471156,0.737611105,10773.09834,12742.59498,2.260335589,0.436862217,12.39196847,1.761454041
Macfadyen2009_plant-herb_A10,0.198924731,-0.675675676,1,0.225806452,42.73883183,12.23784722,0.16471503,0.10305968,0.846772396,6,31,0.4,0.251612903,0.239725188,0.227994477,0,0,0.06639593,0.202150538,0.036700337,0.138172043,0.850462963,0.753763441,1.485549133,0.171232877,25,23,1.232907606,5.78042145,0.550526002,0.834100693,3468.80799,3678.780114,1.809898549,0.255055193,6.258449492,1.367966862
Macfadyen2009_plant-herb_A2,0.175,-0.698113208,1.188679245,0.155555556,25.90055549,20.50160601,0.382422102,0.118437841,0.740371074,8,45,0.964285714,0.357575758,0.274828694,0.229738949,0.04434172,0.51089378,0.07683954,0.228920154,0.049069628,0.122727273,0.726524503,0.677925084,5.682170543,0.627906977,36,34,1.264313524,4.992241963,0.558239707,0.812682436,5263.953476,5639.941718,2.195778381,0.472153666,10.71649957,1.837911588
Macfadyen2009_plant-herb_A3,0.111492281,-0.65625,1.015625,0.075471698,13.31662077,8.524075366,0.460147372,0.083789552,0.885983676,11,53,0.381818182,0.25616836,0.22469766,0.133452094,0.004839347,0.155199375,0.041334759,0.213932085,0.021727539,0.078688921,0.834744031,0.746661829,7,0.540762902,37,41,1.124500936,3.617251172,0.529081273,0.771922276,5049.598698,5079.079057,2.000319642,0.227204304,9.257089659,1.46797303
Macfadyen2009_plant-herb_A4,0.152380952,-0.35483871,1.032258065,0.095238095,19.68175706,16.04575163,0.494168882,0.099305236,0.761813255,10,21,0.333333333,0.328571429,0.255359551,0.183529185,0.049271172,0.133159694,0.087850559,0.24031746,0.05170068,0.108928571,0.778130511,0.692063492,2.620155039,0.553784861,18,21,1.382444448,2.238474659,0.577899141,0.685537382,3569.018483,3745.300269,1.243278439,0.515032631,4.321632806,1.835291851
Macfadyen2009_plant-herb_A5,0.153439153,-0.4,0.966666667,0.095238095,16.18270055,18.48625629,0.521030172,0.142201828,0.885829664,9,21,0.333333333,0.428571429,0.42423762,0.148452337,0,0,0.054129001,0.33707483,0.039351852,0.150714286,0.73776455,0.580753968,5,0.68,13,17,1.30522743,1.939747473,0.561725574,0.657210992,2992.558233,2265.145446,1.751715042,0.187178721,7.196038658,1.336071032
Macfadyen2009_plant-herb_A6,0.147368421,-0.310344828,0.965517241,0.052631579,13.2793411,28.00925926,0.607638889,0.163898852,0.782439091,10,19,0.311111111,0.643274854,0.533120603,0.163452642,0,0,0.079762424,0.491645781,0.051851852,0.213937622,0.730864198,0.372319688,7.571428571,0.985915493,10,13,1.421752894,1.502091517,0.587875305,0.601691726,2813.29309,2300.852539,1.671466937,0.352632268,7.871607023,1.634526418
Macfadyen2009_plant-herb_A7,0.183035714,-0.641025641,1.051282051,0.15625,22.85118629,22.03002671,0.505075399,0.140368124,0.748662541,7,32,0.523809524,0.433467742,0.335507024,0.240706102,0.01107186,0.156207312,0.097013221,0.327889785,0.029496819,0.185147849,0.791741258,0.582045251,7.214285714,0.398335315,18,21,1.16964991,3.59216748,0.534987873,0.765408238,4176.186336,4675.700561,1.914694832,0.423444761,9.263770992,1.684942717
Macfadyen2009_plant-herb_A8,0.07164869,-0.456790123,1.148148148,0.050847458,7.849347555,10.21540252,0.42014464,0.05444259,0.818152518,22,59,0.233766234,0.18176505,0.141132151,0.088968937,0.095140448,0.423257614,0.042674609,0.109187981,0.018430845,0.036193503,0.887355156,0.840906877,3.837940379,0.672673931,69,72,1.41498537,2.584715794,0.584690181,0.708975355,7161.791189,8867.374048,1.756150494,0.499483685,6.862382942,1.957316624
Macfadyen2009_plant-herb_A9,0.3125,-0.666666667,1.041666667,0.25,35.58481989,24.87244898,0.515634902,0.198413978,0.720428681,4,20,0.833333333,0.568421053,0.470072265,0.363256915,0.043092394,0.675935121,0.132608487,0.459649123,0.052083333,0.340789474,0.687042125,0.447368421,5.215384615,0.28957529,8,13,1.309189117,4.451915513,0.586666667,0.804776792,2260.54045,2423.808501,1.943419298,0.314014845,8.070843261,1.45302766
