web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
bluthgen2006,38,22,0.666666667,16.5,0.704545455,0,0.34375,0.34375,0.125,0.75,1,0.869047619,1,0.14516129,0.099318403,4294967307,3.091042453,22,0.768900423,0.647272727,0.072701431
bluthgen2006,39,9,0.272727273,6.583333333,0.62037037,0.111111111,0.75,0.75,0.288675135,0.731481481,1.555555556,0.035714286,0,0.10483871,0.074020319,2147483653,2.197224577,9,0.314550173,0.32,0.562131575
bluthgen2006,40,1,0.03030303,0.333333333,-0.666666667,0.888888889,1,1,1,0.333333333,1.777777778,0,0,0.088709677,0.046426946,134217776.5,0,1,0.034950019,0.06,0.20751875
bluthgen2006,41,1,0.03030303,0.5,-0.5,1,1,1,1,0.5,1.888888889,0,0,0.080645161,0.044835165,134217776.5,0,1,0.034950019,0.04,0.5
bluthgen2006,42,2,0.060606061,0.5,-0.25,0.666666667,0.96875,0.96875,0.695970545,0.25,1.555555556,0.011904762,0,0.10483871,0.066492829,268435505,0.693147181,2,0.069900038,0.16,0
bluthgen2006,43,3,0.090909091,1.666666667,0.222222222,0.333333333,0.9375,0.9375,0.559016994,0.555555556,1.666666667,0.017857143,0,0.096774194,0.064844247,536870956.2,1.098612289,3,0.104850058,0.14,0.432417854
bodner20096,10,1,0.111111111,0.5,-0.5,0.444444444,1,1,1,0.5,2.333333333,0,0,0.084142395,0.047619048,134217776.5,0,1,0.123546351,0.111111111,0.5
bodner20096,11,1,0.111111111,0.25,-0.75,0.555555556,1,1,1,0.25,2.333333333,0,0,0.098705502,0.047619048,134217776.5,0,1,0.123546351,0.222222222,0
bodner20096,12,1,0.111111111,0.333333333,-0.666666667,0.666666667,1,1,1,0.333333333,2.111111111,0,0,0.097087379,0.052631579,134217776.5,0,1,0.123546351,0.166666667,0.20751875
bodner20096,13,2,0.222222222,0.75,-0.125,0.222222222,0.875,0.875,0.661437828,0.375,1.666666667,0.339622642,0.339622642,0.122977346,0.066666667,268435505,0.693147181,2,0.247092702,0.333333333,0.163171163
