web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
bluthgen2006,24,1,0.1,0.045454545,-0.954545455,0.8125,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,25,2,0.2,1.045454545,0.022727273,0.25,0.888888889,0.666666667,0.888888889,1,1.34375,0,0,0.032960199,0.022569028,268435505,0.693147181,2,0.46,0.352820835,0.415490474
bluthgen2006,26,1,0.1,0.045454545,-0.954545455,0.84375,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,27,1,0.1,0.045454545,-0.954545455,0.875,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,28,1,0.1,0.5,-0.5,0.90625,1,1,1,1,2.28125,0,0,0.01844942,0.01323012,134217776.5,0,1,0.04,0.176410417,0.775756176
bluthgen2006,29,1,0.1,0.045454545,-0.954545455,0.9375,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,30,1,0.1,0.111111111,-0.888888889,0.96875,1,1,1,1,1.8125,0,0,0.024461028,0.017179409,134217776.5,0,1,0.18,0.176410417,0.289163895
bluthgen2006,31,2,0.2,0.156565657,-0.421717172,0.28125,0.888888889,0.666666667,0.888888889,1,1.15625,0.137671356,0.100389571,0.036691542,0.027937389,268435505,0.693147181,2,0.62,0.352820835,0
bluthgen2006,32,1,0.1,0.111111111,-0.888888889,1,1,1,1,1,1.8125,0,0,0.024461028,0.017179409,134217776.5,0,1,0.18,0.176410417,0.289163895
bluthgen2006,33,3,0.3,1.378787879,0.126262626,0.125,0.777777778,0.509175077,0.777777778,1,1.3125,0.04978355,0.032364399,0.03358209,0.023979592,536870956.2,1.098612289,3,0.413333333,0.529231252,0.420852622
